date;time;species;infestation;replicate;specimen;wet_wgt;dry_wgt;inf_size
17/05/2021;15;Helcion pectunculus;non infested;2;1;2191,80;1174,70;22,00
17/05/2021;15;Helcion pectunculus;non infested;2;2;3652,70;2111,90;26,00
17/05/2021;15;Helcion pectunculus;non infested;2;3;8061,80;4199,50;31,00
17/05/2021;15;Helcion pectunculus;infested;2;1;3919,00;2061,40;27,00
17/05/2021;15;Helcion pectunculus;infested;2;2;4211,90;2182,80;28,00
17/05/2021;15;Helcion pectunculus;infested;2;3;4521,90;2417,10;28,00
17/05/2021;15;Helcion pectunculus;non infested;3;1;4309,00;2128,90;27,00
17/05/2021;15;Helcion pectunculus;non infested;3;2;6540,30;3625,70;31,00
17/05/2021;15;Helcion pectunculus;non infested;3;3;4143,80;2189,80;29,00
17/05/2021;15;Helcion pectunculus;infested;3;1;5099,60;2362,60;28,00
17/05/2021;15;Helcion pectunculus;infested;3;2;5540,60;2783,50;29,00
17/05/2021;15;Helcion pectunculus;infested;3;3;2299,30;1287,10;24,00
17/05/2021;30;Helcion pectunculus;non infested;1;1;5674,10;3271,90;29,00
17/05/2021;30;Helcion pectunculus;non infested;1;2;4453,20;2428,80;28,00
17/05/2021;30;Helcion pectunculus;non infested;1;3;2848,80;1369,00;25,00
17/05/2021;30;Helcion pectunculus;infested;1;1;3550,20;1768,80;26,00
17/05/2021;30;Helcion pectunculus;infested;1;2;2412,00;1348,70;24,00
17/05/2021;30;Helcion pectunculus;infested;1;3;4286,50;2213,30;28,00
17/05/2021;30;Helcion pectunculus;non infested;2;1;4141,90;2119,80;26,00
17/05/2021;30;Helcion pectunculus;non infested;2;2;4798,70;2410,20;28,00
17/05/2021;30;Helcion pectunculus;non infested;2;3;4272,80;1744,60;26,00
17/05/2021;30;Helcion pectunculus;infested;2;1;2109,70;1135,20;24,00
17/05/2021;30;Helcion pectunculus;infested;2;2;3607,00;1795,10;27,00
17/05/2021;30;Helcion pectunculus;infested;2;3;7890,30;3958,00;33,00
17/05/2021;30;Helcion pectunculus;non infested;3;1;3615,00;1652,90;28,00
17/05/2021;30;Helcion pectunculus;non infested;3;2;3252,50;1695,60;26,00
17/05/2021;30;Helcion pectunculus;non infested;3;3;2216,90;1322,40;23,00
17/05/2021;30;Helcion pectunculus;infested;3;1;3238,90;1728,30;27,00
17/05/2021;30;Helcion pectunculus;infested;3;2;3538,50;1830,40;27,00
17/05/2021;30;Helcion pectunculus;infested;3;3;5867,80;2934,00;30,00
17/05/2021;60;Helcion pectunculus;non infested;1;1;5427,60;3048,90;29,00
17/05/2021;60;Helcion pectunculus;non infested;1;2;2510,50;1320,90;24,00
17/05/2021;60;Helcion pectunculus;non infested;1;3;1496,20;795,20;21,00
17/05/2021;60;Helcion pectunculus;infested;1;1;6262,70;3363,70;31,00
17/05/2021;60;Helcion pectunculus;infested;1;2;2599,90;1319,80;25,00
17/05/2021;60;Helcion pectunculus;infested;1;3;3937,80;2170,30;28,00
17/05/2021;60;Helcion pectunculus;non infested;2;1;4121,90;2175,80;28,00
17/05/2021;60;Helcion pectunculus;non infested;2;2;3970,90;1924,30;27,00
17/05/2021;60;Helcion pectunculus;non infested;2;3;3155,80;1648,20;24,00
17/05/2021;60;Helcion pectunculus;infested;2;1;1781,90;1052,60;22,00
17/05/2021;60;Helcion pectunculus;infested;2;2;5548,30;2999,60;30,00
17/05/2021;60;Helcion pectunculus;infested;2;3;3881,50;2126,20;28,00
17/05/2021;60;Helcion pectunculus;non infested;3;1;2869,70;1478,20;25,00
17/05/2021;60;Helcion pectunculus;non infested;3;2;4123,10;2171,30;29,00
17/05/2021;60;Helcion pectunculus;non infested;3;3;2053,00;1175,00;23,00
17/05/2021;60;Helcion pectunculus;infested;3;1;3955,20;2622,40;29,00
17/05/2021;60;Helcion pectunculus;infested;3;2;5732,30;2966,90;31,00
17/05/2021;60;Helcion pectunculus;infested;3;3;5875,80;3433,40;32,00
17/05/2021;90;Helcion pectunculus;non infested;1;1;4446,50;2662,10;28,00
17/05/2021;90;Helcion pectunculus;non infested;1;2;1681,70;886,20;22,00
17/05/2021;90;Helcion pectunculus;non infested;1;3;6226,20;3453,40;33,00
17/05/2021;90;Helcion pectunculus;infested;1;1;2816,10;1558,10;25,00
17/05/2021;90;Helcion pectunculus;infested;1;2;2396,90;1315,00;24,00
17/05/2021;90;Helcion pectunculus;infested;1;3;3769,50;2287,50;27,00
17/05/2021;90;Helcion pectunculus;non infested;2;1;5344,10;1715,30;26,00
17/05/2021;90;Helcion pectunculus;non infested;2;2;5177,40;1960,50;27,00
17/05/2021;90;Helcion pectunculus;non infested;2;3;1419,00;630,90;20,00
17/05/2021;90;Helcion pectunculus;infested;2;1;2348,10;2761,50;28,00
17/05/2021;90;Helcion pectunculus;infested;2;2;3030,50;2323,50;28,00
17/05/2021;90;Helcion pectunculus;infested;2;3;1244,80;942,10;23,00
17/05/2021;90;Helcion pectunculus;non infested;3;1;2210,70;1215,90;24,00
17/05/2021;90;Helcion pectunculus;non infested;3;2;3864,40;2506,80;30,00
17/05/2021;90;Helcion pectunculus;non infested;3;3;2822,70;1521,60;25,00
17/05/2021;90;Helcion pectunculus;infested;3;1;3286,40;1711,70;26,00
17/05/2021;90;Helcion pectunculus;infested;3;2;3737,30;1929,80;27,00
17/05/2021;90;Helcion pectunculus;infested;3;3;3203,60;1728,20;27,00
18/04/2021;0;Oxystele antoni;non infested;1;1;354,20;NA;NA
18/04/2021;0;Oxystele antoni;non infested;1;2;617,90;NA;NA
18/04/2021;0;Oxystele antoni;non infested;1;3;464,40;NA;NA
18/04/2021;0;Oxystele antoni;infested;1;1;587,60;NA;NA
18/04/2021;0;Oxystele antoni;infested;1;2;785,10;NA;NA
18/04/2021;0;Oxystele antoni;infested;1;3;433,30;NA;NA
18/04/2021;0;Oxystele antoni;non infested;2;1;496,20;NA;NA
18/04/2021;0;Oxystele antoni;non infested;2;2;460,50;NA;NA
18/04/2021;0;Oxystele antoni;non infested;2;3;804,00;NA;NA
18/04/2021;0;Oxystele antoni;infested;2;1;667,20;NA;NA
18/04/2021;0;Oxystele antoni;infested;2;2;224,90;NA;NA
18/04/2021;0;Oxystele antoni;infested;2;3;450,90;NA;NA
18/04/2021;0;Oxystele antoni;non infested;3;1;309,80;NA;NA
18/04/2021;0;Oxystele antoni;non infested;3;2;303,80;NA;NA
18/04/2021;0;Oxystele antoni;non infested;3;3;561,70;NA;NA
18/04/2021;0;Oxystele antoni;infested;3;1;310,60;NA;NA
18/04/2021;0;Oxystele antoni;infested;3;2;831,90;NA;NA
18/04/2021;0;Oxystele antoni;infested;3;3;445,20;NA;NA
18/04/2021;15;Oxystele antoni;non infested;1;1;527,00;342,40;11,00
18/04/2021;15;Oxystele antoni;non infested;1;2;488,80;302,80;12,00
18/04/2021;15;Oxystele antoni;non infested;1;3;486,00;313,40;12,00
18/04/2021;15;Oxystele antoni;infested;1;1;338,60;207,90;10,00
18/04/2021;15;Oxystele antoni;infested;1;2;374,90;241,70;11,00
18/04/2021;15;Oxystele antoni;infested;1;3;726,20;427,60;13,00
18/04/2021;15;Oxystele antoni;non infested;2;1;390,30;236,60;10,00
18/04/2021;15;Oxystele antoni;non infested;2;2;483,30;307,50;11,00
18/04/2021;15;Oxystele antoni;non infested;2;3;903,90;549,50;14,00
18/04/2021;15;Oxystele antoni;infested;2;1;646,50;381,40;12,00
18/04/2021;15;Oxystele antoni;infested;2;2;498,20;329,50;11,00
18/04/2021;15;Oxystele antoni;non infested;3;1;793,80;519,90;14,00
18/04/2021;15;Oxystele antoni;non infested;3;2;668,30;429,90;13,00
18/04/2021;15;Oxystele antoni;non infested;3;3;310,40;191,50;10,00
18/04/2021;15;Oxystele antoni;infested;3;1;1925,60;1087,40;17,00
18/04/2021;15;Oxystele antoni;infested;3;2;298,70;204,50;9,00
18/04/2021;15;Oxystele antoni;infested;3;3;306,80;220,70;10,00
18/04/2021;30;Oxystele antoni;non infested;1;1;474,30;299,60;11,00
18/04/2021;30;Oxystele antoni;non infested;1;2;490,30;319,50;12,00
18/04/2021;30;Oxystele antoni;non infested;1;3;574,00;350,00;11,00
18/04/2021;30;Oxystele antoni;infested;1;1;367,90;219,00;10,00
18/04/2021;30;Oxystele antoni;infested;1;2;492,60;324,70;11,00
18/04/2021;30;Oxystele antoni;infested;1;3;227,60;141,20;9,00
18/04/2021;30;Oxystele antoni;non infested;2;1;413,10;279,40;11,00
18/04/2021;30;Oxystele antoni;non infested;2;2;246,50;157,60;9,00
18/04/2021;30;Oxystele antoni;non infested;2;3;438,20;278,30;11,00
18/04/2021;30;Oxystele antoni;infested;2;1;780,60;495,90;13,00
18/04/2021;30;Oxystele antoni;infested;2;2;505,40;334,20;11,00
18/04/2021;30;Oxystele antoni;infested;2;3;667,80;478,10;12,00
18/04/2021;30;Oxystele antoni;non infested;3;1;1111,90;785,70;14,00
18/04/2021;30;Oxystele antoni;non infested;3;2;1402,90;771,20;16,00
18/04/2021;30;Oxystele antoni;non infested;3;3;580,90;375,80;12,00
18/04/2021;30;Oxystele antoni;infested;3;1;416,60;375,20;10,00
18/04/2021;30;Oxystele antoni;infested;3;2;302,30;192,80;10,00
18/04/2021;30;Oxystele antoni;infested;3;3;631,60;409,60;12,00
18/04/2021;60;Oxystele antoni;non infested;1;1;419,00;282,80;10,00
18/04/2021;60;Oxystele antoni;non infested;1;2;753,90;511,50;13,00
18/04/2021;60;Oxystele antoni;non infested;1;3;489,50;322,60;11,00
18/04/2021;60;Oxystele antoni;infested;1;1;549,70;369,70;12,00
18/04/2021;60;Oxystele antoni;infested;1;2;503,90;335,20;11,00
18/04/2021;60;Oxystele antoni;infested;1;3;390,50;270,30;10,00
18/04/2021;60;Oxystele antoni;non infested;2;1;386,00;241,70;10,00
18/04/2021;60;Oxystele antoni;non infested;2;2;553,30;351,10;11,00
18/04/2021;60;Oxystele antoni;non infested;2;3;392,50;267,60;10,00
18/04/2021;60;Oxystele antoni;infested;2;1;319,50;218,70;10,00
18/04/2021;60;Oxystele antoni;infested;2;2;355,60;209,40;10,00
18/04/2021;60;Oxystele antoni;infested;2;3;449,40;292,90;11,00
18/04/2021;60;Oxystele antoni;non infested;3;1;521,80;338,30;12,00
18/04/2021;60;Oxystele antoni;non infested;3;2;480,20;306,00;11,00
18/04/2021;60;Oxystele antoni;non infested;3;3;301,90;198,80;10,00
18/04/2021;60;Oxystele antoni;infested;3;1;448,80;304,70;10,00
18/04/2021;60;Oxystele antoni;infested;3;2;226,90;154,30;9,00
18/04/2021;60;Oxystele antoni;infested;3;3;333,80;206,40;10,00
18/04/2021;90;Oxystele antoni;non infested;1;1;117,90;94,20;7,00
18/04/2021;90;Oxystele antoni;non infested;1;2;335,90;204,90;10,00
18/04/2021;90;Oxystele antoni;non infested;1;3;344,90;245,20;11,00
18/04/2021;90;Oxystele antoni;infested;1;1;389,70;249,40;10,00
18/04/2021;90;Oxystele antoni;infested;1;2;365,00;280,60;11,00
18/04/2021;90;Oxystele antoni;infested;1;3;243,20;236,30;11,00
